sample_age_rep,starch
 MR20_m_3,7.01158712
 MR20_m_4,1.884780792
 MR20_m_5,4.748024339
 MR20_m_6,2.741499334
 MR20_m_7,0.941693877
 MR20_m_8,0.497295228
 MR20_m_9,-0.577116763
 MR20.2_y_1,3.206009156
 MR20.2_y_2,0.870397241
 MR20.2_y_3,1.858034457
 MR20.2_o_1,4.859930637
 MR20.2_o_2,1.951067044
 MR20.2_o_3,NA
 MR20.2_m_1,1.373952353
 MR20.2_m_2,0.506017277
 MR20.2_m_3,1.52054716
 MR20.2_m_4,0.453743524
 MR20.2_m_5,1.385080232
 MR20.2_m_6,1.037797688
 MR20.2_m_7,0.445493642
 MR20.2_m_8,0.721574208
 MR20.2_m_9,5.330907061
 GH99_y_1,0.399491581
 GH99_y_2,10.99516222
 GH99_y_3,6.109627086
 GH99_o_1,58.56768682
 GH99_o_2,24.57093197
 GH99_o_3,36.41535105
 GH99_m_1,20.81826057
 GH99_m_2,8.023431405
 GH99_m_3,17.48052207
 GH99_m_4,37.29771767
 GH99_m_5,54.48475455
 GH99_m_6,38.45733436
 GH99_m_7,13.48675094
 GH99_m_8,30.61194099
 GH99_m_9,37.25861739
 MR5_y_1,10.33230498
 MR5_y_2,3.415216288
 MR5_y_3,14.51334755
 MR5_o_1,14.87138775
 MR5_o_2,12.53690071
 MR5_o_3,27.01752256
 MR5_m_1,22.52924988
 MR5_m_2,10.11440048
 MR5_m_3,11.57765453
 MR5_m_4,5.676691555
 MR5_m_5,12.34388632
 MR5_m_6,5.702653572
 MR5_m_7,5.869903815
 MR5_m_8,7.59364162
 MR5_m_9,9.796735177
 MR3_y_1,1.91435435
 MR3_y_2,2.237280844
 MR3_y_3,2.79782339
 MR3_o_1,17.22838243
 MR3_o_2,19.17647631
 MR3_o_3,16.8866171
 MR3_m_1,2.035947578
 MR3_m_2,5.21841492
 MR3_m_3,2.568549278
 MR3_m_4,3.510275201
 MR3_m_5,2.281271789
 MR3_m_6,7.333125676
 MR3_m_7,5.924117576
 MR3_m_8,5.504351531
 MR3_m_9,0.926094119
 MR5.2_y_1,2.826451256
 MR5.2_y_2,2.884151053
 MR5.2_y_3,-2.860538121
 MR5.2_o_1,58.41343354
 MR5.2_o_2,74.83946942
 MR5.2_o_3,41.22731699
 MR5.2_m_1,58.03350208
 MR5.2_m_2,45.51758528
 MR5.2_m_3,62.0509001
 MR5.2_m_4,19.95731606
 MR5.2_m_5,66.41282136
 MR5.2_m_6,31.31897111
 MR5.2_m_7,20.13332734
 MR5.2_m_8,43.54753637
 MR5.2_m_9,20.18643064
 GH119_y_1,2.248732822
 GH119_y_2,6.026097029
 GH119_y_3,1.767247504
 GH119_o_1,-2.281358569
 GH119_o_2,14.17586628
 GH119_o_3,18.90119763
