sample_id,sample_age_rep,harvest_time
lea_Spec4_diverse_ED00093.asd.ref,LE2768_o_3,ED
lea_Spec4_diverse_ED00094.asd.ref,LE2768_o_3,ED
lea_Spec4_diverse_ED00095.asd.ref,LE2768_o_3,ED
lea_Spec4_diverse_ED00096.asd.ref,LE2768_o_3,ED
lea_Spec4_diverse_ED00097.asd.ref,LE2768_o_3,ED
lea_Spec4_diverse_ED00098.asd.ref,LE2768_o_3,ED
lea_Spec4_diverse_ED00099.asd.ref,LE2768_o_3,ED
lea_Spec4_diverse_ED00100.asd.ref,LE2768_m_1,ED
lea_Spec4_diverse_ED00101.asd.ref,LE2768_m_1,ED
lea_Spec4_diverse_ED00102.asd.ref,LE2768_m_1,ED
lea_Spec4_diverse_ED00103.asd.ref,LE2768_m_1,ED
lea_Spec4_diverse_ED00104.asd.ref,LE2768_m_1,ED
lea_Spec4_diverse_ED00105.asd.ref,LE2768_m_1,ED
lea_Spec4_diverse_ED00106.asd.ref,LE2768_m_1,ED
lea_Spec4_diverse_ED00107.asd.ref,LE2768_m_1,ED
lea_Spec4_diverse_ED00108.asd.ref,LE2768_m_1,ED
lea_Spec4_diverse_ED00109.asd.ref,LE2768_m_1,ED
lea_Spec4_diverse_ED00110.asd.ref,LE2768_m_2,ED
lea_Spec4_diverse_ED00111.asd.ref,LE2768_m_2,ED
lea_Spec4_diverse_ED00112.asd.ref,LE2768_m_2,ED
lea_Spec4_diverse_ED00113.asd.ref,LE2768_m_2,ED
lea_Spec4_diverse_ED00114.asd.ref,LE2768_m_2,ED
lea_Spec4_diverse_ED00115.asd.ref,LE2768_m_2,ED
lea_Spec4_diverse_ED00116.asd.ref,LE2768_m_2,ED
lea_Spec4_diverse_ED00117.asd.ref,LE2768_m_2,ED
lea_Spec4_diverse_ED00118.asd.ref,LE2768_m_2,ED
lea_Spec4_diverse_ED00119.asd.ref,LE2768_m_2,ED
lea_Spec4_diverse_ED00120.asd.ref,LE2768_m_3,ED
lea_Spec4_diverse_ED00121.asd.ref,LE2768_m_3,ED
lea_Spec4_diverse_ED00122.asd.ref,LE2768_m_3,ED
lea_Spec4_diverse_ED00123.asd.ref,LE2768_m_3,ED
lea_Spec4_diverse_ED00124.asd.ref,LE2768_m_3,ED
lea_Spec4_diverse_ED00125.asd.ref,LE2768_m_3,ED
lea_Spec4_diverse_ED00126.asd.ref,LE2768_m_3,ED
lea_Spec4_diverse_ED00127.asd.ref,LE2768_m_3,ED
lea_Spec4_diverse_ED00128.asd.ref,LE2768_m_3,ED
lea_Spec4_diverse_ED00129.asd.ref,LE2768_m_3,ED
lea_Spec4_diverse_ED00130.asd.ref,LE2768_m_4,ED
lea_Spec4_diverse_ED00131.asd.ref,LE2768_m_4,ED
lea_Spec4_diverse_ED00132.asd.ref,LE2768_m_4,ED
lea_Spec4_diverse_ED00133.asd.ref,LE2768_m_4,ED
lea_Spec4_diverse_ED00134.asd.ref,LE2768_m_4,ED
lea_Spec4_diverse_ED00135.asd.ref,LE2768_m_4,ED
lea_Spec4_diverse_ED00136.asd.ref,LE2768_m_4,ED
lea_Spec4_diverse_ED00137.asd.ref,LE2768_m_4,ED
lea_Spec4_diverse_ED00138.asd.ref,LE2768_m_4,ED
lea_Spec4_diverse_ED00139.asd.ref,LE2768_m_4,ED
lea_Spec4_diverse_ED00140.asd.ref,LE2768_m_5,ED
lea_Spec4_diverse_ED00141.asd.ref,LE2768_m_5,ED
lea_Spec4_diverse_ED00142.asd.ref,LE2768_m_5,ED
lea_Spec4_diverse_ED00143.asd.ref,LE2768_m_5,ED
lea_Spec4_diverse_ED00144.asd.ref,LE2768_m_5,ED
lea_Spec4_diverse_ED00145.asd.ref,LE2768_m_5,ED
lea_Spec4_diverse_ED00146.asd.ref,LE2768_m_5,ED
lea_Spec4_diverse_ED00147.asd.ref,LE2768_m_5,ED
lea_Spec4_diverse_ED00148.asd.ref,LE2768_m_5,ED
lea_Spec4_diverse_ED00149.asd.ref,LE2768_m_5,ED
lea_Spec4_diverse_ED00150.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00151.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00152.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00153.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00154.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00155.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00156.asd.ref,WEISS,ED
lea_Spec4_diverse_ED00157.asd.ref,WEISS,ED
